id,title,subtitle,authors,publisher,published_date,category
9.78332E+12,Essentials of Business Analytics,An Introduction to the Methodology and its Applications,"Bhimasankaram Pochiraju, Sridhar Seshadri",Springer,7/10/2019,Business Analytics
9.78147E+12,Business Analytics,An Introduction,Jay Liebowitz,CRC Press,12/19/2013,Business Analytics
1292017430,Key Business Analytics,The 60+ Business Analysis Tools Every Manager Needs to Know,Bernard Marr,FT Press,1/18/2016,Business Analytics
9.78112E+12,Business Analytics for Managers,Taking Business Intelligence Beyond Reporting,"Gert H. N. Laursen, Jesper Thorlund",John Wiley & Sons,11/7/2016,Business Analytics
9.78112E+12,Data Mining and Business Analytics with R,,Johannes Ledolter,John Wiley & Sons,5/28/2013,Business Analytics
71807594,A PRACTITIONER'S GUIDE TO BUSINESS ANALYTICS: Using Data Analysis Tools to Improve Your Organization’s Decision Making and Strategy,,Randy Bartlett,McGraw-Hill Education,2/5/2013,Business Analytics
9.78303E+12,Business Analytics,Data Science for Business Problems,Walter R. Paczkowski,Springer Nature,1/3/2022,Business Analytics
9.78148E+12,Learn Business Analytics in Six Steps Using SAS and R,"A Practical, Step-by-Step Guide to Learning Business Analytics",Subhashini Sharma Tripathi,Apress,12/19/2016,Business Analytics
9.78134E+12,Business Analytics: Data Analysis & Decision Making,,"S. Christian Albright, Wayne L. Winston",Cengage Learning,3/31/2016,Business Analytics
1461404053,Business Analytics for Managers,,Wolfgang Jank,Springer,8/10/2011,Business Analytics
9.78146E+12,R for Business Analytics,,A Ohri,Springer Science & Business Media,9/14/2012,Business Analytics
9.78112E+12,Data Mining for Business Analytics,"Concepts, Techniques and Applications in Python","Galit Shmueli, Peter C. Bruce, Peter Gedeck, Nitin R. Patel",John Wiley & Sons,11/5/2019,Business Analytics
9.78135E+12,Business Analytics,A Management Approach,"Richard Vidgen, Sam Kirshner, Felix Tan",Red Globe Press,10/9/2019,Business Analytics
9.78148E+12,Interview Questions in Business Analytics,,Bhasker Gupta,Apress,8/4/2016,Business Analytics
9.78148E+12,Practical Business Analytics Using SAS,A Hands-on Guide,"Shailendra Kadre, Venkat Reddy Konasani",Apress,2/7/2015,Business Analytics
1133629601,Business Analytics: Data Analysis & Decision Making,,"S. Christian Albright, Wayne L. Winston",Cengage Learning,2/28/2014,Business Analytics
1484225139,Business Analytics Using R - A Practical Approach,,"Umesh Hodeghatta Rao, Umesh Nayak",Apress,2/5/2017,Business Analytics
9.78908E+12,An Introduction to Business Analytics,,Ger Koole,Lulu.com,3/13/2019,Business Analytics
9.78146E+12,Business Analytics,A Practitioner’s Guide,"Rahul Saxena, Anand Srinivasan",Springer Science & Business Media,12/5/2012,Business Analytics
9.78112E+12,Data Mining for Business Analytics,"Concepts, Techniques, and Applications with XLMiner","Galit Shmueli, Peter C. Bruce, Nitin R. Patel",John Wiley & Sons,4/18/2016,Business Analytics
1305627733,Essentials of Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann, David R. Anderson",Cengage Learning,3/24/2016,Business Analytics
9.78112E+12,Profit Driven Business Analytics,A Practitioner's Guide to Transforming Big Data into Added Value,"Wouter Verbeke, Bart Baesens, Cristian Bravo",John Wiley & Sons,10/9/2017,Business Analytics
9.78007E+12,A PRACTITIONER'S GUIDE TO BUSINESS ANALYTICS: Using Data Analysis Tools to Improve Your Organization’s Decision Making and Strategy,,Randy Bartlett,McGraw Hill Professional,1/25/2013,Business Analytics
9.78112E+12,Win with Advanced Business Analytics,Creating Business Value from Your Data,"Jean-Paul Isson, Jesse Harriott",John Wiley & Sons,9/25/2012,Business Analytics
9.78144E+12,Computational Business Analytics,,Subrata Das,CRC Press,12/14/2013,Business Analytics
1337406422,Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann, David R. Anderson",Cengage Learning,3/8/2018,Business Analytics
9.78013E+12,"Business Analytics Principles, Concepts, and Applications","What, Why, and How","Marc J. Schniederjans, Dara G. Schniederjans, Christopher M. Starkey",Pearson Education,4/23/2014,Business Analytics
9.78047E+12,Business Analytics for Managers,Taking Business Intelligence Beyond Reporting,"Gert Laursen, Jesper Thorlund",John Wiley & Sons,7/13/2010,Business Analytics
9.78165E+12,A Primer on Business Analytics,Perspectives from the Financial Services Industry,Yudhvir Seetharam,IAP,1/1/2022,Business Analytics
9.78112E+12,Machine Learning for Business Analytics,"Concepts, Techniques and Applications in RapidMiner","Galit Shmueli, Peter C. Bruce, Amit V. Deokar, Nitin R. Patel",John Wiley & Sons,3/14/2023,Business Analytics
9.78013E+12,Applied Business Analytics,"Integrating Business Process, Big Data, and Advanced Analytics",Nathaniel Lin,FT Press,12/12/2014,Business Analytics
9.78132E+12,Business Analytics,,Dinabandhu Bag,Routledge,11/10/2016,Business Analytics
9.78148E+12,RapidMiner,Data Mining Use Cases and Business Analytics Applications,"Markus Hofmann, Ralf Klinkenberg",CRC Press,10/25/2013,Business Analytics
9.78112E+12,Predictive Business Analytics,Forward Looking Capabilities to Improve Business Performance,"Lawrence Maisel, Gary Cokins",John Wiley & Sons,9/26/2013,Business Analytics
9.78144E+12,Getting Started with Business Analytics,Insightful Decision-Making,"David Roi Hardoon, Galit Shmueli",CRC Press,3/26/2013,Business Analytics
3319358405,Advanced Business Analytics,,"Fausto Pedro García Márquez, Benjamin Lev",Springer,10/6/2016,Business Analytics
9.78134E+12,Essentials of Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann, David R. Anderson",Cengage Learning,3/24/2016,Business Analytics
9.78013E+12,Business Analytics with Management Science Models and Methods,,Arben Asllani,FT Press,11/17/2014,Business Analytics
321997824,Business Analytics,"Methods, Models, and Decisions",James R. Evans,Pearson College Division,12/30/2014,Business Analytics
9.78132E+12,Sport Business Analytics,Using Data to Increase Revenue and Improve Operational Efficiency,"C. Keith Harrison, Scott Bukstein",CRC Press,11/18/2016,Business Analytics
